technique,model,F1-Score,Processing Time,ROC AUC,Memory Usage,Precision,Recall
no technique,Tree,0.9447438874281137,1.992156744003296,0.7392105263157894,1.96484375,0.9434846596850189,0.9460285132382892
no technique,Tree,0.9272018145438339,1.7977111339569092,0.6219512195121951,2.0234375,0.9198663508460545,0.9348268839103869
no technique,Tree,0.9339558676972518,2.0538525581359863,0.5520289636445919,1.921875,0.9361868192215722,0.9317718940936863
no technique,Tree,0.9253588182305086,1.896547794342041,0.6555217079030141,2.13671875,0.9202301651565982,0.9307535641547862
no technique,Tree,0.9390937074249417,1.844254732131958,0.6121435641983588,2.0625,0.9372769628247853,0.9409368635437881
no technique,Tree,0.9281669538800538,1.9408040046691895,0.6257165605095542,2.19140625,0.9236922875056336,0.9327902240325866
no technique,Tree,0.9272601484751926,1.7055208683013916,0.573328025477707,2.0078125,0.9268235642937865,0.9276985743380856
no technique,Tree,0.9288252819345364,1.9995992183685303,0.5947616702521966,1.92578125,0.9202192495216936,0.9378818737270875
no technique,KNN,0.9423369350278005,16.74927830696106,0.672767060660125,2.12109375,0.9241043466718655,0.9613034623217923
no technique,KNN,0.9453524435693098,16.84470009803772,0.6369802677942213,2.2265625,0.9280241910395262,0.9633401221995926
no technique,KNN,0.9302969615753002,16.90704083442688,0.6246400037160907,2.20703125,0.9085079288703797,0.9531568228105907
no technique,KNN,0.9267701961986734,17.044064044952393,0.6906974248927039,2.01953125,0.9525941981144807,0.9501018329938901
no technique,KNN,0.9257911333507043,17.319154262542725,0.7207056456022923,2.1953125,0.9026934930583498,0.9501018329938901
no technique,KNN,0.9318000188913735,17.235401153564453,0.6628601921024545,2.3984375,0.9104502221245142,0.9541751527494908
no technique,KNN,0.9348078001634841,16.729514837265015,0.6013324417366323,2.26953125,0.91434103060797,0.9562118126272913
no technique,KNN,0.935803335626917,17.18090295791626,0.6569782168186424,2.19140625,0.9162478123034187,0.9562118126272913
no technique,KNN,0.9342782221252898,16.657278776168823,0.5934068540258509,2.015625,0.9572031531896252,0.955193482688391
no technique,KNN,0.9152971516649802,16.740402698516846,0.6125327830916383,2.42578125,0.8891990658741252,0.9429735234215886
no technique,LogReg,0.9227900430434703,1.3938062191009521,0.8625976706472063,7.33984375,0.8988275724756409,0.9480651731160896
no technique,LogReg,0.9287944609650814,1.6101844310760498,0.8784162020707702,6.41796875,0.9065677096079741,0.9521384928716904
no technique,LogReg,0.9333036320434487,1.5758275985717773,0.8700329521225043,7.15234375,0.9123945893703775,0.955193482688391
no technique,LogReg,0.9272925179323862,1.5635325908660889,0.8401588151320485,6.7265625,0.9046295643372974,0.9511201629327902
no technique,LogReg,0.9363125223852444,1.5769352912902832,0.8592198581560284,6.44921875,0.9162895458372912,0.9572301425661914
no technique,LogReg,0.9508402522906202,1.4445195198059082,0.8684226855299082,7.2890625,0.9675255516732375,0.9663951120162932
no technique,LogReg,0.9227900430434703,1.6452181339263916,0.8323329331732693,7.62890625,0.8988275724756409,0.9480651731160896
no technique,LogReg,0.9192821573666307,1.5685195922851562,0.8368300261998092,5.94140625,0.8949179003925917,0.945010183299389
no technique,LogReg,0.9378177978442966,1.531296730041504,0.8447681501257096,6.5703125,0.9182401350583413,0.9582484725050916
no technique,LogReg,0.9378177978442966,1.5612537860870361,0.8815219926907026,6.6875,0.9182401350583413,0.9582484725050916
PCA,Naive Bayes,0.9401060966214868,0.05357551574707031,0.8318861615821258,1.43359375,0.9327170699618292,0.9511201629327902
PCA,Naive Bayes,0.9431254051746062,0.054672956466674805,0.8319826168663378,1.48828125,0.9378942171202863,0.9490835030549898
PCA,Naive Bayes,0.9332979261009959,0.05680251121520996,0.8151469098277608,1.49609375,0.920699736917926,0.9480651731160896
PCA,Naive Bayes,0.9364244058133055,0.06850051879882812,0.8098027526502682,1.53515625,0.927882252380707,0.9470468431771895
PCA,Naive Bayes,0.9495119197845393,0.06696414947509766,0.8615779152209986,1.5390625,0.9433024900890934,0.960285132382892
PCA,Naive Bayes,0.9346539995859915,0.06355023384094238,0.8488991257399015,1.49609375,0.9254157039745406,0.9470468431771895
PCA,Naive Bayes,0.9331857288594381,0.057161808013916016,0.8196555217831814,1.44921875,0.9248389937799306,0.9429735234215886
