technique,model,f1_score,processing_time,memory_usage
no technique,Naive Bayes,1.0,0.03312253952026367,72.671875
no technique,SVM,1.0,0.027257204055786133,71.17578125
no technique,MLP,1.0,0.1997847557067871,76.8515625
no technique,Tree,1.0,0.029357433319091797,72.005859375
no technique,KNN,1.0,0.0362246036529541,86.439453125
no technique,LogReg,1.0,0.03376269340515137,93.0283203125
